id_peli,title,word_bag
755,From Dusk Till Dawn,From Dusk Till Dawn FromDuskTillDawnCollection Action Crime Thriller Horror RobertRodriguez RobertRodriguez
28387,Kicking And Screaming,Kicking And Screaming  Comedy Romance Drama NoahBaumbach NoahBaumbach
20927,Bed Of Roses,Bed Of Roses  Romance Drama MichaelGoldenberg MichaelGoldenberg
36929,Big Bully,Big Bully  Comedy Family SteveMiner SteveMiner
27526,The Crossing Guard,The Crossing Guard  Drama Thriller SeanPenn SeanPenn
9623,The Juror,The Juror  Drama Thriller BrianGibson BrianGibson
46785,The White Balloon,The White Balloon  Family Drama JafarPanahi JafarPanahi
400,Things To Do In Denver When You'Re Dead,Things To Do In Denver When You'Re Dead  Drama Crime GaryFleder GaryFleder
880,Antonia'S Line,Antonia'S Line  Comedy Drama MarleenGorris MarleenGorris
8447,Angels And Insects,Angels And Insects  Romance Drama PhilipHaas PhilipHaas
10534,White Squall,White Squall  Drama Action RidleyScott RidleyScott
17414,Dunston Checks In,Dunston Checks In  Comedy Family Adventure KenKwapis KenKwapis
2086,Nick Of Time,Nick Of Time  Drama Crime Thriller JohnBadham JohnBadham
9095,Mary Reilly,Mary Reilly  Romance Drama Thriller Horror StephenFrears StephenFrears
12158,Vampire In Brooklyn,Vampire In Brooklyn  Comedy Romance Horror WesCraven WesCraven
9283,Beautiful Girls,Beautiful Girls  Comedy Romance Drama TedDemme TedDemme
9208,Broken Arrow,Broken Arrow  Adventure Drama Action Thriller JohnWoo JohnWoo
406,La Haine,La Haine  Drama MathieuKassovitz MathieuKassovitz
11062,City Hall,City Hall  Drama Thriller HaroldBecker HaroldBecker
13685,Bottle Rocket,Bottle Rocket  Comedy Drama Crime WesAnderson WesAnderson
47475,Mr. Wrong,Mr. Wrong  Comedy Romance NickCastle NickCastle
9614,Happy Gilmore,Happy Gilmore  Comedy DennisDugan DennisDugan
688,The Bridges Of Madison County,The Bridges Of Madison County  Romance Drama ClintEastwood ClintEastwood
10874,Muppet Treasure Island,Muppet Treasure Island TheMuppetCollection Comedy Family Adventure Action Music BrianHenson BrianHenson
197,Braveheart,Braveheart  Drama Action History War MelGibson MelGibson
103,Taxi Driver,Taxi Driver  Drama Crime MartinScorsese MartinScorsese
33542,Rumble In The Bronx,Rumble In The Bronx  Comedy Action Crime Thriller StanleyTong StanleyTong
43566,Before And After,Before And After  Drama Thriller BarbetSchroeder BarbetSchroeder
43612,Happiness Is In The Field,Happiness Is In The Field  Comedy ÉtienneChatiliez ÉtienneChatiliez
16934,The Young Poisoner'S Handbook,The Young Poisoner'S Handbook  Comedy Drama Crime BenjaminRoss BenjaminRoss
55731,Race The Sun,Race The Sun  Comedy Family Adventure Drama Action CharlesT.Kanganis CharlesT.Kanganis
11066,Boomerang,Boomerang  Comedy Romance ReginaldHudlin ReginaldHudlin
11104,Chungking Express,Chungking Express  Comedy Romance Drama  
37975,The Star Maker,The Star Maker  Romance Drama GiuseppeTornatore GiuseppeTornatore
2074,Flirting With Disaster,Flirting With Disaster  Comedy Romance DavidO.Russell DavidO.Russell
27793,The Neverending Story Iii: Escape From Fantasia,The Neverending Story Iii: Escape From Fantasia TheNeverendingStoryCollection Fantasy  
11863,Jade,Jade  Romance Action Thriller Mystery WilliamFriedkin WilliamFriedkin
9101,Down Periscope,Down Periscope  Comedy DavidS.Ward DavidS.Ward
9302,Up Close & Personal,Up Close & Personal  Romance Drama JonAvnet JonAvnet
11000,The Birdcage,The Birdcage  Comedy MikeNichols MikeNichols
16388,The Brothers Mcmullen,The Brothers Mcmullen  Comedy Romance Drama EdwardBurns EdwardBurns
30765,The Amazing Panda Adventure,The Amazing Panda Adventure  Family Adventure Drama Action ChristopherCain ChristopherCain
10474,The Basketball Diaries,The Basketball Diaries  Drama Crime ScottKalvert ScottKalvert
30157,Amateur,Amateur  Comedy Drama Crime Thriller HalHartley HalHartley
568,Apollo 13,Apollo 13  Drama RonHoward RonHoward
11780,Rob Roy,Rob Roy  Adventure MichaelCaton-Jones MichaelCaton-Jones
34996,The Addiction,The Addiction  Drama Horror AbelFerrara AbelFerrara
414,Batman Forever,Batman Forever BatmanCollection Fantasy Action Crime JoelSchumacher JoelSchumacher
1873,Beyond Rangoon,Beyond Rangoon  Drama Thriller JohnBoorman JohnBoorman
5894,Blue In The Face,Blue In The Face BrooklynCigarStoreCollection Comedy PaulAuster WayneWang PaulAuster WayneWang
1775,Canadian Bacon,Canadian Bacon  Comedy Action MichaelMoore MichaelMoore
8839,Casper,Casper CasperCollection Comedy Family Fantasy BradSilberling BradSilberling
20649,Clockers,Clockers  Drama Crime Mystery SpikeLee SpikeLee
10329,Congo,Congo  Adventure Drama Action Thriller Science Fiction Mystery FrankMarshall FrankMarshall
8963,Crimson Tide,Crimson Tide  Drama Action Thriller TonyScott TonyScott
26564,Crumb,Crumb  Documentary TerryZwigoff TerryZwigoff
8068,Desperado,Desperado MexicoTrilogy Action Crime Thriller RobertRodriguez RobertRodriguez
8512,Devil In A Blue Dress,Devil In A Blue Dress  Drama Thriller Mystery CarlFranklin CarlFranklin
1572,Die Hard: With A Vengeance,Die Hard: With A Vengeance DieHardCollection Action Thriller  
13552,The Doom Generation,The Doom Generation TeenageApocalypseTrilogy Comedy Drama Action Crime GreggAraki GreggAraki
6520,First Knight,First Knight  Adventure Romance Drama Action JerryZucker JerryZucker
9073,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home FreeWillyCollection Adventure DwightH.Little DwightH.Little
10428,Hackers,Hackers  Drama Action Crime Thriller IainSoftley IainSoftley
17447,Jeffrey,Jeffrey  Comedy Romance Drama ChristopherAshley ChristopherAshley
9886,Johnny Mnemonic,Johnny Mnemonic  Adventure Drama Action Thriller Science Fiction RobertLongo RobertLongo
9482,Judge Dredd,Judge Dredd  Science Fiction DannyCannon DannyCannon
19326,Jury Duty,Jury Duty  Comedy Drama JohnFortenberry JohnFortenberry
9344,Kids,Kids  Drama Crime LarryClark LarryClark
9071,Living In Oblivion,Living In Oblivion  Comedy Drama  
8973,Lord Of Illusions,Lord Of Illusions  Thriller Horror Mystery CliveBarker CliveBarker
2293,Mallrats,Mallrats  Comedy Romance KevinSmith KevinSmith
9070,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie PowerRangersCollection Family Adventure Fantasy Action Science Fiction BryanSpicer BryanSpicer
48787,Mute Witness,Mute Witness  Thriller Foreign AnthonyWaller AnthonyWaller
11472,Nine Months,Nine Months  Comedy ChrisColumbus ChrisColumbus
11980,The Prophecy,The Prophecy TheProphecyCollection Fantasy Thriller Horror GregoryWiden GregoryWiden
10533,The Scarlet Letter,The Scarlet Letter  Romance Drama History RolandJoffé RolandJoffé
10802,Showgirls,Showgirls ShowgirlsCollection Drama PaulVerhoeven PaulVerhoeven
10149,Smoke,Smoke BrooklynCigarStoreCollection Comedy Drama PaulAuster WayneWang PaulAuster WayneWang
18402,Something To Talk About,Something To Talk About  Comedy LasseHallström LasseHallström
9348,Species,Species SpeciesCollection Action Horror Science Fiction RogerDonaldson RogerDonaldson
281,Strange Days,Strange Days  Drama Crime Thriller Science Fiction KathrynBigelow KathrynBigelow
47939,Three Wishes,Three Wishes  Fantasy Drama MarthaCoolidge MarthaCoolidge
36834,Total Eclipse,Total Eclipse  Romance Drama AgnieszkaHolland AgnieszkaHolland
9090,"To Wong Foo, Thanks For Everything! Julie Newmar","To Wong Foo, Thanks For Everything! Julie Newmar  Comedy BeebanKidron BeebanKidron"
3512,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory UnderSiegeCollection Action Thriller GeoffMurphy GeoffMurphy
9560,A Walk In The Clouds,A Walk In The Clouds  Romance Drama AlfonsoAráu AlfonsoAráu
9804,Waterworld,Waterworld  Adventure Action KevinReynolds KevinReynolds
31611,White Man'S Burden,White Man'S Burden  Drama DesmondNakano DesmondNakano
26258,Bushwhacked,Bushwhacked  Comedy Family Adventure Action Crime GregBeeman GregBeeman
50797,Burnt By The Sun,Burnt By The Sun  Drama NikitaMikhalkov NikitaMikhalkov
19155,Before The Rain,Before The Rain  Drama War MilčoMančevski MilčoMančevski
76,Before Sunrise,Before Sunrise Before...Collection Romance Drama RichardLinklater RichardLinklater
11017,Billy Madison,Billy Madison  Comedy TamraDavis TamraDavis
37141,The Babysitter,The Babysitter  Drama Thriller GuyFerland GuyFerland
9382,Boys On The Side,Boys On The Side  Comedy Drama HerbertRoss HerbertRoss
6715,The Cure,The Cure  Family Drama PeterHorton PeterHorton
18256,Castle Freak,Castle Freak  Drama Thriller Horror Mystery StuartGordon StuartGordon
22625,Circle Of Friends,Circle Of Friends  Family Romance Drama PatO'Connor PatO'Connor
2292,Clerks,Clerks ClerksCollection Comedy KevinSmith KevinSmith
1909,Don Juan Demarco,Don Juan Demarco  Comedy Romance Drama JeremyLeven JeremyLeven
8984,Disclosure,Disclosure  Romance Drama Crime Thriller Mystery BarryLevinson BarryLevinson
4954,Drop Zone,Drop Zone  Adventure Action Thriller JohnBadham JohnBadham
10531,Death And The Maiden,Death And The Maiden  Drama Thriller Mystery RomanPolanski RomanPolanski
11929,Dolores Claiborne,Dolores Claiborne  Drama Crime Mystery TaylorHackford TaylorHackford
8467,Dumb And Dumber,Dumb And Dumber  Comedy PeterFarrelly BobbyFarrelly PeterFarrelly BobbyFarrelly
10451,Eat Drink Man Woman,Eat Drink Man Woman  Comedy Romance Drama AngLee AngLee
20156,Exotica,Exotica  Drama Mystery AtomEgoyan AtomEgoyan
18395,Exit To Eden,Exit To Eden  Comedy Romance Crime Thriller GarryMarshall GarryMarshall
522,Ed Wood,Ed Wood  Comedy Drama History TimBurton TimBurton
397,French Kiss,French Kiss  Comedy Romance LawrenceKasdan LawrenceKasdan
10525,Forget Paris,Forget Paris  Comedy Romance Drama BillyCrystal BillyCrystal
27985,Far From Home: The Adventures Of Yellow Dog,Far From Home: The Adventures Of Yellow Dog  Family Adventure Drama Action PhillipBorsos PhillipBorsos
15789,A Goofy Movie,A Goofy Movie AGoofyMovieCollection Animation Comedy Family Adventure Romance KevinLima PaulBrizzi KevinLima PaulBrizzi
27303,Hideaway,Hideaway  Drama Thriller BrettLeonard BrettLeonard
10954,Farinelli,Farinelli  Drama History GérardCorbiau GérardCorbiau
14275,Hoop Dreams,Hoop Dreams  Documentary SteveJames SteveJames
1024,Heavenly Creatures,Heavenly Creatures  Fantasy Drama PeterJackson PeterJackson
17207,Houseguest,Houseguest  Comedy Family RandallMiller RandallMiller
13701,Immortal Beloved,Immortal Beloved  Romance Drama Music BernardRose BernardRose
11777,I.Q.,I.Q.  Comedy Romance Drama FredSchepisi FredSchepisi
628,Interview With The Vampire,Interview With The Vampire TheVampireChronicles Romance Horror NeilJordan NeilJordan
9061,Just Cause,Just Cause  Drama Action Thriller Mystery ArneGlimcher ArneGlimcher
37108,A Kid In King Arthur'S Court,A Kid In King Arthur'S Court  Comedy Family Adventure Fantasy Science Fiction MichaelGottlieb MichaelGottlieb
6071,Kiss Of Death,Kiss Of Death  Drama Action Crime Thriller BarbetSchroeder BarbetSchroeder
11,Star Wars,Star Wars StarWarsCollection Adventure Action Science Fiction GeorgeLucas GeorgeLucas
9587,Little Women,Little Women  Romance Drama GillianArmstrong GillianArmstrong
19101,A Little Princess,A Little Princess  Family Fantasy Drama AlfonsoCuarón AlfonsoCuarón
17961,L'Enfer,L'Enfer  Drama Crime ClaudeChabrol ClaudeChabrol
18183,Like Water For Chocolate,Like Water For Chocolate  Romance Drama AlfonsoAráu AlfonsoAráu
4476,Legends Of The Fall,Legends Of The Fall  Adventure Romance Drama War EdwardZwick EdwardZwick
11008,Major Payne,Major Payne  Comedy Family Adventure NickCastle NickCastle
47504,Little Odessa,Little Odessa  Drama Action JamesGray JamesGray
28313,Losing Isaiah,Losing Isaiah  Drama StephenGyllenhaal StephenGyllenhaal
11318,The Madness Of King George,The Madness Of King George  Comedy Drama History NicholasHytner NicholasHytner
3036,Mary Shelley'S Frankenstein,Mary Shelley'S Frankenstein  Romance Drama Horror Science Fiction KennethBranagh KennethBranagh
24070,Mixed Nuts,Mixed Nuts  Comedy Romance Drama NoraEphron NoraEphron
8986,Milk Money,Milk Money  Comedy Romance RichardBenjamin RichardBenjamin
10510,Miracle On 34Th Street,Miracle On 34Th Street  Family Fantasy Drama LesMayfield LesMayfield
8438,Murder In The First,Murder In The First  Drama Crime MarcRocco MarcRocco
11593,Nobody'S Fool,Nobody'S Fool  Comedy Drama RobertBenton RobertBenton
1945,Nell,Nell  Drama Thriller MichaelApted MichaelApted
241,Natural Born Killers,Natural Born Killers  Drama Crime Thriller OliverStone OliverStone
9058,Only You,Only You  Comedy Romance Drama NormanJewison NormanJewison
527,Once Were Warriors,Once Were Warriors  Drama LeeTamahori LeeTamahori
18220,Poison Ivy Ii: Lily,Poison Ivy Ii: Lily PoisonIvyCollection Romance Drama Thriller AnneGoursaud AnneGoursaud
6950,Outbreak,Outbreak  Drama Action Thriller Science Fiction WolfgangPetersen WolfgangPetersen
101,Leon: The Professional,Leon: The Professional  Drama Crime Thriller LucBesson LucBesson
680,Pulp Fiction,Pulp Fiction  Crime Thriller QuentinTarantino QuentinTarantino
11450,Quiz Show,Quiz Show  Drama History RobertRedford RobertRedford
10452,Queen Margot,Queen Margot  Drama History PatriceChéreau PatriceChéreau
12106,The Quick And The Dead,The Quick And The Dead  Action Western SamRaimi SamRaimi
3586,Prêt-À-Porter,Prêt-À-Porter  Comedy Drama RobertAltman RobertAltman
110,Three Colors: Red,Three Colors: Red ThreeColorsCollection Romance Drama Mystery KrzysztofKieślowski KrzysztofKieślowski
108,Three Colors: Blue,Three Colors: Blue ThreeColorsCollection Drama Mystery Music KrzysztofKieślowski KrzysztofKieślowski
109,Three Colors: White,Three Colors: White ThreeColorsCollection Comedy Drama Mystery KrzysztofKieślowski KrzysztofKieślowski
36357,Rent-A-Kid,Rent-A-Kid  Comedy Family FredGerber FredGerber
22586,The Swan Princess,The Swan Princess SwanPrincessSeries Animation RichardRich RichardRich
14334,The Secret Of Roan Inish,The Secret Of Roan Inish  Family Fantasy Drama JohnSayles JohnSayles
2636,The Specialist,The Specialist  Action Thriller LuisLlosa LuisLlosa
2164,Stargate,Stargate  Adventure Action Science Fiction RolandEmmerich RolandEmmerich
11395,The Santa Clause,The Santa Clause TheSantaClauseCollection Comedy Family Fantasy Drama JohnPasquin JohnPasquin
278,The Shawshank Redemption,The Shawshank Redemption  Drama Crime FrankDarabont FrankDarabont
9905,Shallow Grave,Shallow Grave  Crime Thriller DannyBoyle DannyBoyle
12527,Strawberry And Chocolate,Strawberry And Chocolate  Comedy Drama TomásGutiérrezAlea JuanCarlosTabío TomásGutiérrezAlea JuanCarlosTabío
20306,Swimming With Sharks,Swimming With Sharks  Comedy Crime GeorgeHuang GeorgeHuang
36614,The Sum Of Us,The Sum Of Us  Comedy Romance Drama KevinDowling GeoffBurton KevinDowling GeoffBurton
27993,Senior Trip,Senior Trip  Comedy KellyMakin KellyMakin
31439,To Live,To Live  Romance Drama War ZhangYimou ZhangYimou
9067,Tank Girl,Tank Girl  Comedy Fantasy Action Science Fiction RachelTalalay RachelTalalay
9059,Tales From The Crypt: Demon Knight,Tales From The Crypt: Demon Knight  Comedy Thriller Horror ErnestR.Dickerson ErnestR.Dickerson
193,Star Trek: Generations,Star Trek: Generations StarTrek:TheNextGenerationCollection Adventure Action Thriller Science Fiction DavidCarson DavidCarson
25066,Tales From The Hood,Tales From The Hood  Crime Thriller Horror RustyCundieff RustyCundieff
12122,Village Of The Damned,Village Of The Damned  Thriller Horror Science Fiction JohnCarpenter JohnCarpenter
11381,Tommy Boy,Tommy Boy  Comedy PeterSegal PeterSegal
32636,Vanya On 42Nd Street,Vanya On 42Nd Street  Romance Drama LouisMalle LouisMalle
1587,What'S Eating Gilbert Grape,What'S Eating Gilbert Grape  Romance Drama LasseHallström LasseHallström
9271,Virtuosity,Virtuosity  Action Crime Thriller Science Fiction BrettLeonard BrettLeonard
2064,While You Were Sleeping,While You Were Sleeping  Comedy Romance Drama JonTurteltaub JonTurteltaub
236,Muriel'S Wedding,Muriel'S Wedding  Comedy Romance Drama P.J.Hogan P.J.Hogan
48287,The Baby-Sitters Club,The Baby-Sitters Club  Comedy Family Drama MelanieMayron MelanieMayron
3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective AceVenturaCollection Comedy Mystery TomShadyac TomShadyac
2759,"The Adventures Of Priscilla, Queen Of The Desert","The Adventures Of Priscilla, Queen Of The Desert  Comedy Drama StephanElliott StephanElliott"
12635,Backbeat,Backbeat  Drama Music IainSoftley IainSoftley
10497,Bitter Moon,Bitter Moon  Romance Drama Thriller RomanPolanski RomanPolanski
11382,Bullets Over Broadway,Bullets Over Broadway  Comedy Action Thriller WoodyAllen WoodyAllen
9331,Clear And Present Danger,Clear And Present Danger TheJackRyanCollection Drama Action Thriller PhillipNoyce PhillipNoyce
10464,"Corrina, Corrina","Corrina, Corrina  Comedy Family Romance Drama JessieNelson JessieNelson"
34152,Crooklyn,Crooklyn  Comedy Drama SpikeLee SpikeLee
9495,The Crow,The Crow TheCrowCollection Fantasy Action Thriller AlexProyas AlexProyas
29973,Cobb,Cobb  Drama RonShelton RonShelton
888,The Flintstones,The Flintstones TheFlintstones(Live-Action)Collection Comedy Family Fantasy BrianLevant BrianLevant
13,Forrest Gump,Forrest Gump  Comedy Romance Drama RobertZemeckis RobertZemeckis
712,Four Weddings And A Funeral,Four Weddings And A Funeral  Comedy Romance Drama MikeNewell MikeNewell
16295,Higher Learning,Higher Learning  Romance Drama Crime JohnSingleton JohnSingleton
10879,I Love Trouble,I Love Trouble  Comedy Romance Action CharlesShyer CharlesShyer
10660,It Could Happen To You,It Could Happen To You  Comedy Romance Drama AndrewBergman AndrewBergman
8587,The Lion King,The Lion King TheLionKingCollection Animation Family Drama RogerAllers RobMinkoff RogerAllers RobMinkoff
1689,Little Buddha,Little Buddha  Drama History BernardoBertolucci BernardoBertolucci
11596,New Nightmare,New Nightmare  Fantasy Thriller Horror Mystery WesCraven WesCraven
854,The Mask,The Mask TheMaskCollection Comedy Fantasy Romance Crime ChuckRussell ChuckRussell
9359,Maverick,Maverick  Comedy Adventure Drama Action Western RichardDonner RichardDonner
23333,Mrs. Parker And The Vicious Circle,Mrs. Parker And The Vicious Circle  Drama AlanRudolph AlanRudolph
36593,The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult NakedGunCollection Comedy Crime PeterSegal PeterSegal
12280,The Paper,The Paper  Comedy Drama RonHoward RonHoward
2788,Reality Bites,Reality Bites  Drama BenStiller BenStiller
10427,Red Rock West,Red Rock West  Drama Crime Thriller JohnDahl JohnDahl
11011,Ri¢Hie Ri¢H,Ri¢Hie Ri¢H RichieRichCollection Comedy Family DonaldPetrie DonaldPetrie
8987,The River Wild,The River Wild  Adventure Action Crime Thriller CurtisHanson CurtisHanson
1637,Speed,Speed SpeedCollection Adventure Action Crime  
15128,Speechless,Speechless  Comedy Romance RonUnderwood RonUnderwood
8831,Timecop,Timecop TimecopCollection Action Crime Thriller Science Fiction PeterHyams PeterHyams
36955,True Lies,True Lies  Action Thriller JamesCameron JamesCameron
10449,When A Man Loves A Woman,When A Man Loves A Woman  Romance Drama LuisMandoki LuisMandoki
12160,Wyatt Earp,Wyatt Earp  Drama Action Western LawrenceKasdan LawrenceKasdan
29444,S.F.W.,S.F.W.  Comedy Drama JeferyLevy JeferyLevy
26352,A Low Down Dirty Shame,A Low Down Dirty Shame  Comedy Action Crime KeenenIvoryWayans KeenenIvoryWayans
11667,Street Fighter,Street Fighter StreetFighter Adventure Action Thriller  
8011,Highlander: The Final Dimension,Highlander: The Final Dimension HighlanderCollection Fantasy Action Science Fiction AndrewMorahan AndrewMorahan
2654,In The Mouth Of Madness,In The Mouth Of Madness  Thriller Horror Mystery JohnCarpenter JohnCarpenter
18069,8 Seconds,8 Seconds  Romance Drama JohnG.Avildsen JohnG.Avildsen
19092,Above The Rim,Above The Rim  Drama Crime JeffPollack JeffPollack
2758,Addams Family Values,Addams Family Values AddamsFamilyCollection Comedy Family Fantasy BarrySonnenfeld BarrySonnenfeld
10436,The Age Of Innocence,The Age Of Innocence  Romance Drama MartinScorsese MartinScorsese
13595,Airheads,Airheads  Comedy Crime Music MichaelLehmann MichaelLehmann
46094,The Air Up There,The Air Up There  Comedy Family PaulMichaelGlaser PaulMichaelGlaser
9409,Another Stakeout,Another Stakeout StakeoutCollection Comedy Action JohnBadham JohnBadham
16771,Barcelona,Barcelona  Comedy Romance Drama WhitStillman WhitStillman
46924,Being Human,Being Human  Comedy Fantasy Drama BillForsyth BillForsyth
11041,The Beverly Hillbillies,The Beverly Hillbillies  Comedy PenelopeSpheeris PenelopeSpheeris
306,Beverly Hills Cop Iii,Beverly Hills Cop Iii BeverlyHillsCopCollection Comedy Action Crime JohnLandis JohnLandis
14522,Black Beauty,Black Beauty  Family Adventure Drama Action CarolineThompson CarolineThompson
26203,Blink,Blink  Drama Crime Thriller Mystery MichaelApted MichaelApted
178,Blown Away,Blown Away  Drama Action Thriller StephenHopkins StephenHopkins
19819,Blue Chips,Blue Chips  Drama WilliamFriedkin WilliamFriedkin
57834,Blue Sky,Blue Sky  Romance Drama TonyRichardson TonyRichardson
4722,Body Snatchers,Body Snatchers  Thriller Horror Science Fiction AbelFerrara AbelFerrara
18215,Boxing Helena,Boxing Helena  Romance Drama JenniferChambersLynch JenniferChambersLynch
1607,A Bronx Tale,A Bronx Tale  Drama Crime RobertDeNiro RobertDeNiro
26391,Cabin Boy,Cabin Boy  Comedy AdamResnick AdamResnick
6075,Carlito'S Way,Carlito'S Way  Drama Action Crime Thriller BrianDePalma BrianDePalma
11310,City Slickers Ii: The Legend Of Curly'S Gold,City Slickers Ii: The Legend Of Curly'S Gold CitySlickersCollection Comedy Drama Action Western PaulWeiland PaulWeiland
18658,Clean Slate,Clean Slate  Comedy Thriller Mystery MickJackson MickJackson
9350,Cliffhanger,Cliffhanger  Adventure Action Thriller RennyHarlin RennyHarlin
9612,Coneheads,Coneheads  Comedy Family Science Fiction SteveBarron SteveBarron
2124,Color Of Night,Color Of Night  Romance Drama Thriller Mystery RichardRush RichardRush
26261,Cops & Robbersons,Cops & Robbersons  Comedy Family Action MichaelRitchie MichaelRitchie
19176,The Cowboy Way,The Cowboy Way  Comedy Action Western GreggChampion GreggChampion
11566,Dave,Dave  Comedy IvanReitman IvanReitman
9571,Dazed And Confused,Dazed And Confused  Comedy Drama RichardLinklater RichardLinklater
9739,Demolition Man,Demolition Man  Action Crime Science Fiction MarcoBrambilla MarcoBrambilla
34444,Even Cowgirls Get The Blues,Even Cowgirls Get The Blues  Comedy Romance Drama Western GusVanSant GusVanSant
